original,norm,llama
"Trong lúc đi soi cá, 3 người phụ nữ nhặt được chiếc áo mưa bên trong có 52 triệu đồng, liền tìm cách trả lại cho người đánh rơi.","trong lúc đi soi cá , ba người phụ nữ nhặt được chiếc áo mưa bên trong có năm mươi hai triệu đồng , liền tìm cách trả lại cho người đánh rơi .. ","Trong lúc đi soi cá, ba người phụ nữ nhặt được chiếc áo mưa bên trong có năm mươi hai triệu đồng, liền tìm cách trả lại cho người đánh rơi."
"Trong 9 tháng đầu năm 2022, Việt Nam đã đón hơn 1,87 triệu lượt khách quốc tế đến, phục vụ 86,8 triệu lượt khách du lịch nội địa, tổng thu khoảng 16,5 tỷ USD.","trong chín tháng đầu năm hai nghìn không trăm hai mươi hai , việt nam đã đón hơn một phẩy tám mươi bảy triệu lượt khách quốc tế đến , phục vụ tám mươi sáu phẩy tám triệu lượt khách du lịch nội địa , tổng thu khoảng mười sáu phẩy năm tỷ usd .. ","Trong chín tháng đầu năm hai nghìn không trăm hai mươi hai, Việt Nam đã đón hơn một phẩy tám mươi bảy triệu lượt khách quốc tế đến, phục vụ tám phẩy tám triệu lượt khách du lịch nội địa, tổng thu khoảng mười sáu phẩy năm tỷ đô la."
Các thành viên thuộc cộng đồng người Việt tại Anh đã tổ chức một lễ cầu nguyện cho 39 người bị phát hiện thiệt mạng trong xe tải ở hạt Essex tuần trước.,các thành viên thuộc cộng đồng người việt tại anh đã tổ chức một lễ cầu nguyện cho ba mươi chín người bị phát hiện thiệt mạng trong xe tải ở hạt essex tuần trước .. ,Các thành viên thuộc cộng đồng người Việt tại Anh đã tổ chức một lễ cầu nguyện cho ba mươi chín người bị phát hiện thiệt mạng trong xe tải ở hạt Essex tuần trước.
"Bé sơ sinh được xác định khoảng 2 3 ngày tuổi, còn dây rốn bị bỏ rơi trong chiếc làn nhựa để bên đường cùng lời nhắn ""gia đình không đủ điều kiện nuôi con nên gửi gắm ai nhận được cháu nuôi giùm"".","bé sơ sinh được xác định khoảng hai ba ngày tuổi , còn dây rốn bị bỏ rơi trong chiếc làn nhựa để bên đường cùng lời nhắn gia đình không đủ điều kiện nuôi con nên gửi gắm ai nhận được cháu nuôi giùm .. ","Bé sơ sinh được xác định khoảng một hai ba ngày tuổi, còn dây rốn bị bỏ rơi trong chiếc làn nhựa để bên đường cùng lời nhắn gia đình không đủ điều kiện nuôi con nên gửi gắm ai nhận được cháu nuôi giùm."
Các phiên bản iPhone 14 Pro Max với bộ nhớ trong 512 GB và 1 TB có mức giá chênh lệch tới 10 triệu đồng so với bản tiêu chuẩn.,các phiên bản iphone mười bốn pro max với bộ nhớ trong năm trăm mười hai ghi ga bay và một tê bê có mức giá chênh lệch tới mười triệu đồng so với bản tiêu chuẩn .. ,Các phiên bản iPhone mười bốn pro max với bộ nhớ trong năm trăm mười hai gigabyte và một tê bê có mức giá chênh lệch tới mười triệu đồng so với bản tiêu chuẩn.
"Dù đã mở cửa được một năm nhưng lượng khách quốc tế vào Việt Nam ""nhỏ giọt"", nhiều doanh nghiệp than trời vì cả tháng chỉ đón được... 7 khách quốc tế.","dù đã mở cửa được một năm nhưng lượng khách quốc tế vào việt nam nhỏ giọt , nhiều doanh nghiệp than trời vì cả tháng chỉ đón được bảy khách quốc tế .. ","Dù đã mở cửa được một năm nhưng lượng khách quốc tế vào Việt Nam nhỏ giọt, nhiều doanh nghiệp than trời vì cả tháng chỉ đón được bảy khách quốc tế."
"Tôi quen và yêu một cô bạn đồng nghiệp. Cô ấy cùng tuổi 28 với tôi, không đẹp lắm nhưng rất ấn tượng: Dáng cao, da trắng, giọng nói thanh thoát. Khi biết chúng tôi yêu nhau nhiều người nói ra nói vào, đáng lưu ý là những đánh giá về đôi mắt xếch của cô ấy.","tôi quen và yêu một cô bạn đồng nghiệp . cô ấy cùng tuổi hai mươi tám với tôi , không đẹp lắm nhưng rất ấn tượng . dáng cao , da trắng , giọng nói thanh thoát . khi biết chúng tôi yêu nhau nhiều người nói ra nói vào , đáng lưu ý là những đánh giá về đôi mắt xếch của cô ấy .. ","Tôi quen và yêu một cô bạn đồng nghiệp. Cô ấy cùng tuổi hai mươi tám với tôi, không đẹp lắm nhưng rất ấn tượng: Dáng cao, da trắng, giọng nói thanh thoát. Khi biết chúng tôi yêu nhau nhiều người nói ra nói vào, đáng lưu ý là những đánh giá về đôi mắt xếch của cô ấy."
"Sau hơn 2 năm tập sự, bà Thúy bị hủy quyết định trúng tuyển chức danh công chức Văn hóa   Xã hội một xã ở Bình Định, với lý do không hoàn thành nhiệm vụ được giao trong thời gian tập sự.","sau hơn hai năm tập sự , bà thúy bị hủy quyết định trúng tuyển chức danh công chức văn hóa xã hội một xã ở bình định , với lý do không hoàn thành nhiệm vụ được giao trong thời gian tập sự .. ","Sau hơn hai năm tập sự, bà Thúy bị hủy quyết định trúng tuyển chức danh công chức văn hóa xã hội một xã ở Bình Định, với lý do không hoàn thành nhiệm vụ được giao trong thời gian tập sự."
"Thông tư 24/2023/TT BCA nêu rõ, với các xe đã đăng ký biển 05 số trước ngày 15/8/2023 mà chưa làm thủ tục thu hồi thì số biển số đó sẽ được mặc định là biển số định danh của chủ xe.","thông tư hai mươi tư , hai nghìn không trăm hai mươi ba xuyệt tt bê xê a nêu rõ , với các xe đã đăng ký biển năm số trước ngày mười lăm tháng tám năm hai nghìn không trăm hai mươi ba mà chưa làm thủ tục thu hồi thì số biển số đó sẽ được mặc định là biển số định danh của chủ xe .. ","Thông tư hai mươi bốn , hai nghìn không trăm hai mươi ba , với các xe đã đăng ký biển năm số trước ngày mười lăm tháng tám năm hai nghìn không trăm hai mươi ba mà chưa làm thủ tục thu hồi thì số biển số đó sẽ được mặc định là biển số định danh của chủ xe."
"Trước khi góp mặt tại chương trình ""Chuang Asia"" mùa giải 2024, Paulius Prajakrattanakul từng giành ngôi á hậu 5 tại ""Hoa hậu Hòa bình Thái Lan"".","trước khi góp mặt tại chương trình chuang asia mùa giải hai nghìn không trăm hai mươi tư , paulius prajakrattanakul từng giành ngôi á hậu năm tại hoa hậu hòa bình thái lan .. ","Trước khi góp mặt tại chương trình ""Chuang Asia"" mùa giải hai nghìn không trăm hai mươi tư, Paulius Prajakrattanakul từng giành ngôi á hậu năm tại Hoa hậu Hòa bình Thái Lan."
