original,norm,llama
"Hơn 100 hecta rừng phong đang dần thay lá đỏ tạo nên một cảnh đẹp vô cùng kỳ thú, khác lạ tại núi Tam Ban (Chí Linh, Hải Dương).","hơn một trăm hecta rừng phong đang dần thay lá đỏ tạo nên một cảnh đẹp vô cùng kỳ thú , khác lạ tại núi tam ban chí linh , hải dương .. ","Hơn một trăm hecta rừng Phong đang dần thay lá đỏ tạo nên một cảnh đẹp vô cùng kỳ thú, khác lạ tại Núi Tam Bàn Chí Linh, Hải Dương."
"Sự việc diễn ra vào ngày 1/5 trên tuyến đường Lê Hiến Tông, huyện Thọ Xuân, tỉnh Thanh Hóa.","sự việc diễn ra vào ngày một tháng năm trên tuyến đường lê hiến tông , huyện thọ xuân , tỉnh thanh hóa .. ","Sự việc diễn ra vào ngày một tháng năm trên tuyến đường Lê Hiến Tông, huyện Thọ Xuân, tỉnh Thanh Hóa."
"""'Nhân duyên nếu có một lần được gặp gỡ, thì ngay từ ánh mắt đầu tiên, anh đã biết định mệnh chính là em"", đó là cảm xúc ngọt ngào mà Vũ Hồ Bắc dành tặng bạn gái Thúy An vào dịp kỉ niệm 1 năm yêu.","nhân duyên nếu có một lần được gặp gỡ , thì ngay từ ánh mắt đầu tiên , anh đã biết định mệnh chính là em , đó là cảm xúc ngọt ngào mà vũ hồ bắc dành tặng bạn gái thúy an vào dịp kỉ niệm một năm yêu .. ","Nhân duyên nếu có một lần được gặp gỡ, thì ngay từ ngày ánh mắt đầu tiên, anh đã biết định mệnh chính là em, đó là cảm xúc ngọt ngào mà Vũ Hồ Bắc dành tặng bạn gái Thúy An vào dịp kỷ niệm một năm yêu."
"""1,2,3 dô! Lên bia..."" là những âm thanh chúng tôi ghi nhận được ở nhiều quán nhậu tại TPHCM. Những ""ma men"" sau khi sử dụng thức uống có cồn vẫn điều khiển xe máy một mình và không đội mũ bảo hiểm.",một hai ba dô . lên bia là những âm thanh chúng tôi ghi nhận được ở nhiều quán nhậu tại thành phố hồ chí minh . những ma men sau khi sử dụng thức uống có cồn vẫn điều khiển xe máy một mình và không đội mũ bảo hiểm .. ,Một hai ba độ. Lên Bia là những âm thanh chúng tôi ghi nhận được ở nhiều quán nhậu tại Thành phố Hồ Chí Minh. Những ma men sau khi sử dụng thức uống có cồn vẫn điều khiển xe máy một mình và không đội mũ Bảo Hiểm.
"""10 lời thề danh dự"" thể hiện tinh thần và khí chất cách mạng của Quân đội nhân dân Việt Nam, là niềm vinh dự tự hào cho các học viên Học viện Kỹ thuật Quân sự khi tuyên thệ trong buổi lễ tốt nghiệp.","mười lời thề danh dự thể hiện tinh thần và khí chất cách mạng của quân đội nhân dân việt nam , là niềm vinh dự tự hào cho các học viên học viện kỹ thuật quân sự khi tuyên thệ trong buổi lễ tốt nghiệp .. ","Mười lời thề danh dự thể hiện tinh thần và khí chất cách mạng của Quân đội Nhân dân Việt Nam, là niềm vinh dự tự hào cho các học viên Học viện Kỹ thuật Quân sự khi tuyên thệ trong Buổi Lễ Tốt Nghiệp."
"""10h mới mở cửa mà 9h khách hàng đã xếp hàng dài chờ mua trà mãng cầu. Có nhiều bạn từ Đồng Nai, TPHCM chạy xuống Long An chỉ để mua ly trà"", nữ tiktoker là chủ tiệm trà hào hứng kể.","mười giờ mới mở cửa mà chín giờ khách hàng đã xếp hàng dài chờ mua trà mãng cầu . có nhiều bạn từ đồng nai , thành phố hồ chí minh chạy xuống long an chỉ để mua ly trà , nữ tiktoker là chủ tiệm trà hào hứng kể .. ","Mười giờ mới mở cửa mà chín giờ khách hàng đã xếp hàng dài chờ mua trà Mạng Cầu. Có nhiều bạn từ Đồng Nai, Thành phố Hồ Chí Minh chạy xuống Long An chỉ để mua ly trà, nữ TikToker là chủ tiệm trà hào hứng kể..."
"""123456"" đứng đầu trong danh sách những mật khẩu tệ nhất năm 2021.",một hai ba bốn năm sáu đứng đầu trong danh sách những mật khẩu tệ nhất năm hai nghìn không trăm hai mươi mốt .. ,Một hai ba bốn năm sáu đứng đầu trong danh sách những mật khẩu tệ nhất năm hai nghìn không trăm hai mươi mốt.
"""13 năm chống chọi với căn bệnh ung thư quái ác, tôi đã học cách chấp nhận số phận... Trải qua sự sống và cái chết, con người có những cái nhìn thiện lương, hoan hỉ hơn"", NSND Hoàng Cúc tâm sự.","mười ba năm chống chọi với căn bệnh ung thư quái ác , tôi đã học cách chấp nhận số phận trải qua sự sống và cái chết , con người có những cái nhìn thiện lương , hoan hỉ hơn , nghệ sĩ nhân dân hoàng cúc tâm sự .. ","Mười ba năm chống chọi với căn bệnh ung thư quái ác, tôi đã học cách chấp nhận số phận trải qua sự sống và cái chết, con người có những cái nhìn thiện lương, hoan hỉ hơn, Nghệ sĩ Nhân dân Hoàng Cúc tâm sự."
"""15.000 đồng/tấm bạt, mấy em mua ngồi ngắm pháo hoa nè"", người đàn ông ôm trong tay một xấp bạt nylon gấp gọn đi dọc công viên bến Bạch Đằng rao.","mười lăm chấm không không không đồng , tấm bạt , mấy em mua ngồi ngắm pháo hoa nè , người đàn ông ôm trong tay một xấp bạt nylon gấp gọn đi dọc công viên bến bạch đằng rao .. ","Mười lăm chấm không không không đồng, tấm bạt, mấy em mua ngồi ngắm pháo hoa nè, người đàn ông ôm trong tay một xấp bạt nylon gấp gọn đi dọc công viên Bến Bạch Đằng rao."
"""15/2/1966, một ngày đau khổ nhất..."", trang nhật ký đặc biệt ghi lại thông tin tên tuổi, quê quán người đồng đội thân thiết ngã xuống giúp người lính Việt được nhận lại kỷ vật sau nửa thế kỷ.","mười lăm tháng hai năm một nghìn chín trăm sáu mươi sáu , một ngày đau khổ nhất , trang nhật ký đặc biệt ghi lại thông tin tên tuổi , quê quán người đồng đội thân thiết ngã xuống giúp người lính việt được nhận lại kỷ vật sau nửa thế kỷ .. ","Mười lăm tháng hai năm một nghìn chín trăm sáu mươi sáu, một ngày đau khổ nhất, Trang Nhật Ký Đặc Biệt ghi lại thông tin tên tuổi, quê quán người đồng đội thân thiết ngã xuống giúp người lính Việt được nhận lại kỷ vật sau nửa thế kỷ."
"""20 năm làm nghề, tôi chưa thấy nơi nào áp dụng chính sách cấp cứu bệnh nhân tim mạch trước, viện phí tính sau như FV"", Ths.BS Hồ Minh Tuấn chia sẻ lý do chọn bệnh viện FV làm bến đỗ trong sự nghiệp.","hai mươi năm làm nghề , tôi chưa thấy nơi nào áp dụng chính sách cấp cứu bệnh nhân tim mạch trước , viện phí tính sau như fv , ths . bác sĩ hồ minh tuấn chia sẻ lý do chọn bệnh viện fv làm bến đỗ trong sự nghiệp .. ","Hai mươi năm làm nghề, tôi chưa thấy nơi nào áp dụng chính sách cấp cứu bệnh nhân tim mạch trước, viện phí tính sau như FV, THS. Bác sĩ Hồ Minh Tuấn chia sẻ lý do chọn bệnh viện FV làm bến đỗ trong sự nghiệp."
"""21 ngày sống khỏe"" cùng Livecool là thử thách thay đổi lối sống và thói quen hằng ngày, giúp người chơi có dịp vượt qua giới hạn của bản thân, hướng tới một cơ thể khỏe mạnh và tận hưởng một cuộc sống ""thanh mát"".","hai mươi mốt ngày sống khỏe cùng livecool là thử thách thay đổi lối sống và thói quen hằng ngày , giúp người chơi có dịp vượt qua giới hạn của bản thân , hướng tới một cơ thể khỏe mạnh và tận hưởng một cuộc sống thanh mát .. ","Hai mươi mốt ngày sống khỏe cùng Livecool là thử thách thay đổi lối sống và thói quen hằng ngày, giúp người chơi có dịp vượt qua giới hạn của bản thân, hướng tới một cơ thể khỏe mạnh và tận hưởng một cuộc sống thanh mát."
"""3 năm cùng chồng chống chọi với bệnh ung thư chưa biết sống chết thế nào, giờ lại đưa con đi viện, tôi kiệt quệ quá rồi..."", bà Thủy bật khóc.","ba năm cùng chồng chống chọi với bệnh ung thư chưa biết sống chết thế nào , giờ lại đưa con đi viện , tôi kiệt quệ quá rồi , bà thủy bật khóc .. ","Ba năm cùng chồng chống chọi với bệnh ung thư chưa biết sống chết thế nào, giờ lại đưa con đi viện, tôi kiệt quệ quá rồi, Bà Thủy bật khóc."
"""36 thói quen cần tránh để trẻ thực sự trưởng thành"" chứa đựng bí quyết nuôi dạy trẻ đúc kết bởi chuyên gia giáo dục, giúp trẻ trở thành người được xã hội xem trọng, dễ thành công và luôn hạnh phúc.","ba mươi sáu thói quen cần tránh để trẻ thực sự trưởng thành chứa đựng bí quyết nuôi dạy trẻ đúc kết bởi chuyên gia giáo dục , giúp trẻ trở thành người được xã hội xem trọng , dễ thành công và luôn hạnh phúc .. ","Ba mươi sáu thói quen cần tránh để trẻ thực sự trưởng thành chứa đựng bí quyết nuôi dạy trẻ đúc kết bởi chuyên gia giáo dục, giúp trẻ trở thành người được xã hội xem trọng, dễ thành công và luôn hạnh phúc."
"""40 năm nghiên cứu khoa học, chưa bao giờ tôi quan tâm đến lương, thậm chí không biết lương mình mấy phẩy. Vì có khi chỉ 3 ngày làm ""lính đánh thuê"" khoa học, tôi có thu nhập bằng cả tháng lương"".","bốn mươi năm nghiên cứu khoa học , chưa bao giờ tôi quan tâm đến lương , thậm chí không biết lương mình mấy phẩy . vì có khi chỉ ba ngày làm lính đánh thuê khoa học , tôi có thu nhập bằng cả tháng lương .. ","Bốn mươi năm nghiên cứu khoa học, chưa bao giờ tôi quan tâm đến lương, thậm chí không biết lương mình mấy chục. Vì có khi chỉ ba ngày làm lính đánh thuê khoa học, tôi có thu nhập bằng cả tháng lương."
